topic,message,qos,retain,time_now,time_delta
l99/B01000/evt/ident,"{""435362"":{""sn"":""435362"",""part"":""806276"",""model"":""QM30VT2"",""slave"":10,""node"":0,""equip"":""MARUMATSU"",""loc"":""motor-hpu""},""479055"":{""sn"":""479055"",""part"":""802367"",""model"":""DX80N9Q45VA"",""slave"":1,""node"":11,""equip"":""MARUMATSU"",""loc"":""motor-main""},""3002493"":{""sn"":""3002493"",""part"":""806246"",""model"":""DXM700-B1R1"",""slave"":199,""node"":0,""equip"":""_SELF"",""loc"":""enclosure""},""682719aca84a"":{""sn"":""682719aca84a"",""part"":""R4S"",""model"":""R4S"",""slave"":0,""node"":0,""equip"":""_SELF"",""loc"":""enclosure""}}",0,true,1638470703.347,0.003999948501586914
l99/B01000/evt/agent,"{""id"":""682719aca84a"",""cpu_load_avg_1"":0.14,""cpu_load_avg_5"":0.12,""cpu_load_avg_15"":0.09,""mem_usage_pct"":18.8,""disk_usage_pct"":19,""uptime_s"":26810.17,""net_cidr"":""10.0.180.89/24"",""source_reachable"":true}",0,true,1638470703.348,0.0010001659393310547
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,true,1638470703.348,0
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,true,1638470703.349,0.0009999275207519531
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":34,""a6"":0}",0,true,1638470703.349,0
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,true,1638470703.35,0.0009999275207519531
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470704.141,0.7910001277923584
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470704.184,0.042999982833862305
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470704.186,0.002000093460083008
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":34,""a6"":0}",0,false,1638470704.186,0
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470704.187,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470704.188,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470704.188,0
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470706.145,1.9570000171661377
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470706.147,0.002000093460083008
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470706.148,0.0009999275207519531
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470706.15,0.002000093460083008
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470706.151,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470706.152,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470706.153,0.0010001659393310547
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470708.143,1.989999771118164
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470708.145,0.002000093460083008
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470708.146,0.0009999275207519531
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470708.148,0.002000093460083008
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470708.149,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470708.15,0.0010001659393310547
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470708.151,0.0009999275207519531
l99/B01000/evt/agent,"{""id"":""682719aca84a"",""cpu_load_avg_1"":0.11,""cpu_load_avg_5"":0.11,""cpu_load_avg_15"":0.09,""mem_usage_pct"":18.76,""disk_usage_pct"":19,""uptime_s"":26825.17,""net_cidr"":""10.0.180.89/24"",""source_reachable"":true}",0,false,1638470709.51,1.3589999675750732
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470710.149,0.6389999389648438
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470710.154,0.005000114440917969
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470710.155,0.0009999275207519531
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470710.156,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470710.156,0
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470710.157,0.0010001659393310547
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470710.158,0.0009999275207519531
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470712.153,1.9950001239776611
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470712.159,0.00599980354309082
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470712.16,0.0010001659393310547
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470712.161,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470712.161,0
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470712.162,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470712.162,0
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470714.15,1.9880001544952393
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470714.155,0.004999876022338867
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470714.157,0.002000093460083008
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470714.158,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470714.158,0
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470714.16,0.002000093460083008
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470714.161,0.0009999275207519531
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470716.153,1.9920001029968262
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470716.197,0.04399991035461426
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470716.202,0.004999876022338867
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470716.203,0.0010001659393310547
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470716.204,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470716.205,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470716.206,0.0010001659393310547
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470718.152,1.9459998607635498
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470718.156,0.003999948501586914
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470718.157,0.0010001659393310547
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470718.16,0.003000020980834961
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470718.162,0.0019998550415039062
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470718.163,0.0010001659393310547
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470718.163,0
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470720.157,1.99399995803833
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470720.162,0.004999876022338867
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470720.163,0.0010001659393310547
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470720.164,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470720.165,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470720.167,0.002000093460083008
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470720.168,0.0009999275207519531
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470722.155,1.9869999885559082
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470722.16,0.005000114440917969
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470722.161,0.0009999275207519531
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470722.162,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470722.163,0.0010001659393310547
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470722.164,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470722.165,0.0009999275207519531
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470724.159,1.99399995803833
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470724.164,0.005000114440917969
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470724.166,0.0019998550415039062
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470724.167,0.0010001659393310547
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470724.168,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470724.169,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470724.17,0.0010001659393310547
l99/B01000/evt/agent,"{""id"":""682719aca84a"",""cpu_load_avg_1"":0.08,""cpu_load_avg_5"":0.1,""cpu_load_avg_15"":0.09,""mem_usage_pct"":18.77,""disk_usage_pct"":19,""uptime_s"":26840.17,""net_cidr"":""10.0.180.89/24"",""source_reachable"":true}",0,false,1638470724.498,0.3279998302459717
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470726.159,1.6610000133514404
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470726.163,0.004000186920166016
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470726.164,0.0009999275207519531
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470726.166,0.0019998550415039062
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470726.167,0.0010001659393310547
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470726.168,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470726.169,0.0009999275207519531
l99/B01000/evt/gateway,"{""id"":""3002493"",""a10015"":0,""a10017"":0}",0,false,1638470728.16,1.9910001754760742
l99/B01000/evt/vibration,"{""id"":""435362"",""a42403"":0,""a40043"":0,""a42453"":0,""a42407"":0,""a42457"":0,""a42405"":0,""a42455"":0,""a42406"":0,""a42456"":0,""a42409"":0,""a42459"":0,""a42408"":0,""a42458"":0,""a42404"":0,""a42454"":0,""a42410"":0,""a42460"":0}",0,false,1638470728.166,0.00599980354309082
l99/B01000/evt/vibration,"{""id"":""479055"",""a22"":0.83,""a25"":0.095,""a192"":29.65,""a70"":2.205,""a73"":0.058}",0,false,1638470728.167,0.0010001659393310547
l99/B01000/evt/io,"{""id"":""535172"",""a1"":0.021972991531242846,""a2"":0.013122758831158923,""a3"":0.007629510948348211,""a4"":0.021972991531242846,""a5"":77,""a6"":0}",0,false,1638470728.168,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470728.169,0.0009999275207519531
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470728.169,0
l99/B01000/evt/current,"{""id"":"""",""a40001"":0,""a40002"":0,""a40003"":0}",0,false,1638470728.171,0.002000093460083008
